"sku";"qty"
"104011708";4
"104011805";5
"104012005";19
"104012408";56
"104012506";29
"104012706";3
"104013006";28
"104013112";25
"104021902";40
"104022203";47
"104022302";12
"104022901";7
"105011005";23
"105011105";16
"106010805";30
"106010904";6
"109010105";8
"109010208";22
"110010401";5
"110010603";8
"110010703";12
"110010905";5
"110011103";30
"110011205";42
"111012305";2
"111012510";15
"111012715";8
"111012815";9
"111021202";4
"111022902";9
"111023002";11
"112030401";4
"121010205";16
"121010305";6
"121010505";13
"121010718";1
"121011206";16
"121011503";2
"121012306";4
"121021902";10
"121022202";36
"1340506";98
"185010310";8
"185010710";59
"185010809";2
"185010913";56
"185011106";28
"185011215";25
"185020102";12
"185021002";11
"232016306";167
"232016406";36
"232016506";40
"232016708";129
"232017408";25
"232027901";4
"232028001";4
"232028101";49
"232028301";29
"242014704";92
"242014806";19
"242015206";48
"242015306";11
"242016205";2
"242016306";12
"242016906";1
"242017006";15
"242017406";1
"242026601";154
"244016015";5
"249028401";12
"249029101";38
"254010908";17
"254011512";1
"254012909";1
"254013605";6
"254015201";16
"254015304";1
"254018608";14
"254018828";6
"254028502";3
"256018103";91
"256018205";8
"256028401";50
"261019505";148
"261029601";162
"267011705";357
"267011805";36
"267011806";79
"267012005";245
"267012106";61
"267012703";228
"267012803";127
"267012905";33
"267013403";198
"267013505";101
"267014403";41
"267014503";47
"267021901";86
"276014207";1
"276014409";6
"276014605";46
"276015001";4
"282012008";3
"282012208";7
"282022102";15
"282022302";9
"285010703";79
"285010910";51
"285011305";76
"285011408";7
"285011804";2
"285011908";22
"285021002";138
"285022002";76
"297013806";16
"297013908";56
"298012106";4
"298013209";11
"298013309";1
"299011308";33
"299011608";3
"299011715";8
"299011906";11
"299021802";18
"299032203";1
"299042303";7
"301014605";15
"301023401";17
"301024501";14
"301027801";23
"306013908";4
"306014006";10
"308010910";18
"313012418";12
"313012508";4
"315011205";12
"315011308";55
"317011202";10
"317011403";22
"317011504";3
"317021801";7
"317021902";2
"317042501";10
"318011205";11
"318020801";10
"323013708";77
"323023801";5
"324015203";6
"324016105";1
"324017205";1
"324025801";29
"324026001";4
"325014501";131
"328020901";5
"334023401";19
"334023701";27
"343011805";2
"343021701";9
"345010814";4
"345010914";3
"345011226";2
"345011508";1
"345012506";6
"347017405";25
"351011808";2
"354016301";14
"354019004";38
"354019101";27
"354019204";3
"354019301";8
"355010612";5
"355013806";1
"355014408";12
"355014608";1
"355014806";19
"356012905";17
"356015105";119
"356015308";24
"356023001";22
"356025201";52
"357020301";2
"358011505";49
"364013605";12
"365013705";68
"365014305";30
"365014505";142
"365014605";302
"365015105";56
"365015901";68
"367012606";24
"367013306";26
"368011401";1
"368011501";50
"368021301";570
"371011106";11
"371011605";56
"371012605";22
"371016305";27
"371016408";32
"371016505";49
"371016605";55
"371016705";18
"371021501";7
"371026201";6
"371044001";14
"372013205";2
"372013405";74
"372023901";2
"373011205";3
"373014503";12
"374015901";222
"374016001";199
"379018506";1
"379018608";5
"379019505";32
"379019605";101
"379028401";2
"379029302";28
"382012812";2
"382016401";2
"383010210";2
"384017106";1
"386010206";2
"386013506";4
"386013608";2
"386016408";20
"386016512";35
"386016708";14
"386016812";29
"386017008";23
"386017108";28
"386017205";2
"386017408";19
"386017508";26
"386017706";27
"386017908";6
"386026302";5
"386026602";24
"386026902";4
"386027801";17
"392017206";39
"392017310";54
"394011224";15
"394011316";15
"394011432";2
"394011816";1
"394011924";12
"394012112";8
"394012215";20
"394021705";4
"394031506";3
"394041608";10
"397011706";3
"401010402";9
"401010624";2
"401010908";11
"408032201";236
"408042703";20
"411010905";1
"412010501";6
"412010601";36
"412010701";15
"415033601";6
"415033801";20
"415033901";13
"419010805";22
"421011905";65
"421013406";103
"421013506";43
"421013806";35
"421014406";45
"421022801";3
"421023901";1
"421024502";11
"421034601";4
"421034801";18
"421044901";4
"422010607";31
"424011505";49
"424012209";30
"424012301";28
"437022105";1
"445011008";1
"445011112";11
"445021202";9
"447010306";9
"447010512";23
"447010612";8
"447010912";6
"447011406";56
"448012106";15
"448014605";12
"448022001";25
"450011503";1
"450013005";11
"450013603";237
"450015703";7
"450016305";9
"450016605";24
"450018603";67
"450022601";11
"450022901";11
"450028801";10
"450029001";2
"452024502";8
"452024904";32
"453011906";3
"454010805";1
"454010905";17
"458010712";3
"458010906";3
"458011608";5
"460010706";14
"464011016";4
"464016518";8
"464017306";17
"464017506";30
"464018405";40
"464018506";16
"464018809";52
"464019916";16
"464029101";95
"464029502";76
"465011305";30
"465015606";42
"465015709";8
"465016006";12
"465016104";76
"465016304";141
"465016406";40
"465016504";38
"465016704";7
"465016906";30
"465017006";100
"465026201";36
"475020402";3
"477020502";9
"481012001";1
"481013608";6
"482010204";4
"482013105";164
"482013208";18
"482013606";6
"482013708";14
"482016705";56
"482016808";41
"482023401";10
"482023901";7
"482026601";16
"483012008";2
"483013306";10
"483013506";77
"483013610";30
"483013805";91
"483013908";47
"483014106";68
"483014210";30
"483014706";9
"483014808";12
"483014906";32
"483015108";2
"483020503";26
"483022601";6
"483023402";22
"483023702";32
"483024002";52
"483024302";63
"483024601";7
"483025001";1
"491010712";16
"491011110";3
"491012208";1
"491012315";13
"491023303";1
"492010501";14
"492014406";1
"496012708";7
"496015006";5
"496015202";103
"496015302";22
"496016408";32
"496016506";16
"496016905";23
"496017008";27
"496017801";122
"496019006";2
"498014806";15
"498015010";4
"498015203";3
"498024601";6
"498025402";15
"502020702";208
"502020802";78
"543021101";47
"543021202";323
"545020502";72
"546021204";18
"547020101";415
"547020301";734
"547020403";335
"547020702";190
"547020901";96
"549020402";18
"550011405";127
"550011505";5
"550011605";86
"605011108";3
"605011708";26
"605011808";33
"605011912";39
"605012106";16
"605012208";13
"605012406";49
"605012805";175
"605012908";49
"605013704";13
"605013806";7
"605014106";15
"605014208";36
"605014308";12
"605014412";8
"605015006";4
"605016108";9
"605016206";61
"605016308";9
"605016406";91
"605016508";46
"605016605";100
"605016708";58
"605022002";26
"606010401";62
"606010501";34
"606010601";28
"606010701";59
"606010801";42
"606010905";25
"606011009";33
"606011105";29
"606011201";4
"606011301";33
"606011401";9
"606011518";1
"606012005";1
"609014036";9
"609015301";2
"609015408";8
"609015520";2
"614010506";13
"614010608";11
"614012610";8
"614013106";19
"619011203";3
"619011305";24
"619011408";22
"619041503";1
"625010228";2
"626040301";8
"628020101";4
"628030201";8
"631017701";9
"631035301";38
"631035701";42
"631036101";93
"631036201";141
"631036401";72
"631036501";70
"631036601";45
"631036701";153
"631036801";129
"632013508";28
"632014814";2
"632015206";43
"632015406";32
"632015506";16
"632017005";6
"632017206";50
"632035901";49
"632036001";7
"632045702";24
"632045802";27
"632046402";14
"634020802";74
"636011701";16
"637014401";350
"637014501";25
"637016003";120
"637016101";36
"637016303";244
"637020801";40
"637028002";114
"637028102";36
"638010203";53
"638011808";319
"638011908";147
"638012008";1
"638012108";4
"638012208";51
"638012308";1
"638012705";26
"638013806";25
"638015005";13
"638017806";19
"638018406";13
"638018506";16
"638018608";6
"638018708";67
"638018808";7
"638018908";1
"638019008";27
"638023301";2
"638026601";27
"638028301";45
"639012428";3
"639012828";2
"642010905";5
"642013008";23
"642013305";36
"642014601";9
"642014901";1
"642022901";48
"642023401";3
"642024701";14
"657011307";18
"657011704";17
"659010615";1
"659010721";5
"659011105";9
"659011212";21
"659021302";2
"659021402";4
"659021502";9
"661012509";4
"661014802";2
"661015209";1
"661015316";22
"661015728";3
"661015901";4
"661016001";39
"661016301";1
"661016903";76
"661017003";52
"661024401";18
"661026201";8
"661027202";11
"663011001";4
"667010808";1
"667010908";7
"667011005";19
"667011506";17
"667011608";9
"667011806";38
"667012106";5
"667012208";16
"667012406";18
"667012508";26
"667021701";10
"667022001";10
"667022301";24
"669011304";12
"673010604";61
"673010803";38
"673011004";4
"673011605";55
"673011705";9
"673011905";15
"673012005";11
"673012508";22
"673013908";5
"673014504";139
"673014604";12
"673014701";3
"673015604";43
"673016006";19
"673024901";89
"673025001";32
"673025801";4
"675013005";23
"675013603";27
"675013703";12
"676014805";50
"676023301";5
"676024401";14
"676026001";104
"677010304";24
"677012303";20
"677012705";85
"677013108";6
"677023301";30
"677023701";20
"683022301";19
"684010105";23
"684010408";1
"684012408";9
"684021302";99
"684022701";63
"686010108";1
"687010601";93
"691010705";14
"692011308";1
"692041601";2
"693012505";4
"699010906";4
"700031403";1
"700032404";2
"700033004";26
"700033604";18
"700042504";3
"700043104";1
"702011901";20
"702012201";86
"703011101";14
"703011201";118
"704010704";229
"704010909";40
"704011009";18
"704023004";1
"704023502";78
"708010609";1
"712010501";4
"712010901";50
"712011001";71
"714010205";3
"720011501";4
"721010105";9
"721010205";35
"721010308";10
"721010408";51
"722010601";14
"722010803";72
"722010903";60
"722011430";1
"725010103";3
"725010203";39
"725010406";31
"725011006";1
"726010301";48
"731010101";15
"731010201";5
"800040203";19
"800040502";2
"801010806";1
"801020603";4
"802010703";1
"802011104";3
"802011306";2
"802011406";8
"802011506";2
"802020903";14
"802021004";3
"802021202";21
"802021602";1
"803040401";154
"803040601";364
"804010401";322
"804010801";280
"804020101";167
"804020201";494
"804020901";350
"804040301";153
"804040501";221
"804040602";35
"805010401";77
"805020201";253
"805040501";244
"806011001";229
"806020101";651
"806020801";290
"806040901";209
"806041101";329
"806041202";18
"807020501";154
"807020701";29
"807022701";10
"807022801";113
"807041501";3
"807041801";262
"808040201";761
"808040401";1
"809020401";142
"809040201";448
"809040301";335
"811010301";236
"811020101";544
"811020401";58
"811040201";139
"811040501";130
"Adaptor SСP";176
"Adaptor SСP3";19
"Lift MW-100";16
"Lift MW-150";58
"Lift MW-50";22
"LSH2008";100
"LSH2021";38
"LSH2024";27
"LSH2027";42
"LSH3005";5
"LSH4002";157
"LSH4004";14
"REMOTE CONTR.-3";72